Number,involvementType,personID
MP20004234,SUSPECT,4304
MP20011488,SUSPECT,4304
MP20005573,VICTIM,4305
MP20008122,VICTIM,4305
MP20800930,VICTIM,4306
MP20003827,SUSPECT,4307
MP20010610,SUSPECT,4308
MP20011313,VICTIM,4309
MP20008008,SUSPECT,4310
MP20001643,SUSPECT,4311
MP20002652,SUSPECT,4311
MP20006001,SUSPECT,4312
MP20010013,SUSPECT,4313
MP20001828,VICTIM,4314
MP20004541,SUSPECT,4315
MP20006233,VICTIM,4316
MP20009704,VICTIM,4317
MP20002786,SUSPECT,4318
MP20007737,VICTIM,4318
MP20008931,VICTIM,4318
MP20009778,VICTIM,4318
MP20005012,VICTIM,4319
MP20008190,VICTIM,4320
MP20009941,VICTIM,4321
MP20007036,SUSPECT,4322
MP20011788,VICTIM,4323
MP20010814,VICTIM,4324
MP20003234,SUSPECT,4325
MP20002541,SUSPECT,4326
MP20000303,SUSPECT,4327
MP20003212,SUSPECT,4328
MP20008873,SUSPECT,4329
MP20009894,SUSPECT,4330
MP20009894,VICTIM,4330
MP20007128,VICTIM,4331
MP20010245,SUSPECT,4332
MP20008215,VICTIM,4333
MP20004763,VICTIM,4334
MP20000278,VICTIM,4335
MP20010453,VICTIM,4335
MP20001826,SUSPECT,4336
MP20001795,VICTIM,4336
MP20011015,VICTIM,4337
MP20003205,VICTIM,4338
MP20008990,VICTIM,4338
MP20003126,SUSPECT,4339
MP20003126,VICTIM,4339
MP20008012,VICTIM,4340
MP20009098,VICTIM,4340
MP20008022,SUSPECT,4341
MP20008022,VICTIM,4341
MP20005534,VICTIM,4342
MP20800383,VICTIM,4343
MP20003217,SUSPECT,4344
MP20003217,VICTIM,4344
MP20007773,VICTIM,4345
MP20001607,SUSPECT,4346
MP20008395,SUSPECT,4346
MP20008265,SUSPECT,4347
MP20801000,VICTIM,4348
MP20005241,VICTIM,4349
MP20001758,VICTIM,4350
MP20009908,VICTIM,4350
MP20000086,VICTIM,4351
MP20000299,VICTIM,4351
MP20011670,SUSPECT,4352
MP20011670,VICTIM,4352
MP20008984,SUSPECT,4353
MP20008984,VICTIM,4353
MP20006290,VICTIM,4354
MP20002672,VICTIM,4356
MP20004148,VICTIM,4356
MP20004440,VICTIM,4356
MP20006771,VICTIM,4357
MP20002803,SUSPECT,4358
MP20000677,VICTIM,4359
MP20011380,SUSPECT,4360
MP20001232,VICTIM,4361
MP20009619,VICTIM,4363
MP20001544,VICTIM,4363
MP20800220,VICTIM,4364
MP20800221,VICTIM,4364
MP20011001,SUSPECT,4365
MP20011155,SUSPECT,4365
MP20011155,VICTIM,4365
MP20010911,VICTIM,4366
MP20005517,VICTIM,4367
MP20009066,VICTIM,4368
MP20010263,SUSPECT,4369
MP20000202,SUSPECT,4370
MP20005231,SUSPECT,4370
MP20011057,VICTIM,4371
MP20006026,SUSPECT,4372
MP20007460,VICTIM,4373
MP20009681,VICTIM,4374
MP20003126,SUSPECT,4375
MP20003126,VICTIM,4375
MP20001330,VICTIM,4376
MP20011941,VICTIM,4377
MP20009171,VICTIM,4378
MP20002639,SUSPECT,4379
MP20007737,SUSPECT,4380
MP20008931,SUSPECT,4380
MP20800816,VICTIM,4381
MP20002299,VICTIM,4382
MP20000202,VICTIM,4383
MP20005231,VICTIM,4383
MP20005354,VICTIM,4384
MP20011056,VICTIM,4385
MP20010471,VICTIM,4386
MP20010059,VICTIM,4387
MP20003234,VICTIM,4388
MP20010135,SUSPECT,4389
MP20005919,VICTIM,4390
MP20006383,VICTIM,4391
MP20005773,VICTIM,4392
MP20009994,VICTIM,4392
MP20008688,VICTIM,4393
MP20010386,VICTIM,4393
MP20011896,VICTIM,4393
MP20010390,VICTIM,4394
MP20003889,SUSPECT,4395
MP20008182,SUSPECT,4396
MP20007494,VICTIM,4397
MP20007323,VICTIM,4398
MP20800957,VICTIM,4399
MP20011225,VICTIM,4400
MP20008743,SUSPECT,4401
MP20009477,SUSPECT,4401
MP20000182,SUSPECT,4402
MP20004597,SUSPECT,4403
MP20008984,SUSPECT,4404
MP20008984,VICTIM,4404
MP20002914,VICTIM,4405
MP20002149,SUSPECT,4406
MP20011743,VICTIM,4407
MP20005015,VICTIM,4408
MP20011677,VICTIM,4409
MP20800893,VICTIM,4410
MP20801030,VICTIM,4411
MP20002700,VICTIM,4412
MP20010093,VICTIM,4412
MP20001502,VICTIM,4413
MP20007795,VICTIM,4413
MP20010597,VICTIM,4414
MP20009646,SUSPECT,4415
MP20010731,VICTIM,4416
MP20005222,VICTIM,4417
MP20004234,VICTIM,4418
MP20011488,VICTIM,4418
MP20002008,VICTIM,4419
MP20003907,VICTIM,4420
MP20000339,VICTIM,4421
MP20006001,VICTIM,4421
MP20000615,VICTIM,4422
MP20800701,VICTIM,4423
MP20002882,VICTIM,4424
MP20006628,SUSPECT,4425
MP20006781,SUSPECT,4425
MP20008149,VICTIM,4425
MP20010736,VICTIM,4426
MP20010223,VICTIM,4427
MP20800884,VICTIM,4428
MP20009141,VICTIM,4429
MP20007428,SUSPECT,4430
MP20008877,SUSPECT,4430
MP20010012,SUSPECT,4430
MP20010756,VICTIM,4430
MP20011580,VICTIM,4430
MP20010110,VICTIM,4431
MP20000649,SUSPECT,4432
MP20009991,VICTIM,4433
MP20800564,VICTIM,4434
MP20001529,SUSPECT,4435
MP20010177,SUSPECT,4436
MP20007145,VICTIM,4437
MP20000095,SUSPECT,4438
MP20800011,VICTIM,4439
MP20800239,VICTIM,4439
MP20004845,VICTIM,4440
MP20002649,VICTIM,4441
MP20001502,SUSPECT,4442
MP20002328,SUSPECT,4442
MP20010093,SUSPECT,4442
MP20002700,SUSPECT,4443
MP20002328,VICTIM,4443
MP20005645,VICTIM,4444
MP20001840,SUSPECT,4445
MP20008848,VICTIM,4446
MP20010640,VICTIM,4446
MP20000691,SUSPECT,4447
MP20001366,SUSPECT,4447
MP20002401,SUSPECT,4447
MP20010195,VICTIM,4448
MP20010938,SUSPECT,4449
MP20800588,VICTIM,4450
MP20011824,SUSPECT,4451
MP20000242,VICTIM,4452
MP20004835,VICTIM,4453
MP20000837,VICTIM,4454
MP20001839,VICTIM,4455
MP20001640,VICTIM,4456
MP20008743,VICTIM,4457
MP20009477,VICTIM,4457
MP20002905,SUSPECT,4458
MP20002905,VICTIM,4458
MP20009829,VICTIM,4459
MP20002467,VICTIM,4460
MP20006714,VICTIM,4461
MP20007142,VICTIM,4462
MP20005773,SUSPECT,4463
MP20010457,VICTIM,4464
MP20008775,VICTIM,4465
MP20001392,VICTIM,4466
MP20005748,VICTIM,4467
MP20010209,VICTIM,4468
MP20006477,VICTIM,4469
MP20001135,VICTIM,4470
MP20004936,VICTIM,4471
MP20006613,SUSPECT,4472
MP20006684,SUSPECT,4472
MP20008206,VICTIM,4473
MP20001529,SUSPECT,4474
MP20001401,SUSPECT,4475
MP20001502,SUSPECT,4476
MP20002700,SUSPECT,4476
MP20002328,VICTIM,4476
MP20001502,SUSPECT,4477
MP20002328,SUSPECT,4477
MP20002700,VICTIM,4477
MP20002150,VICTIM,4478
MP20006684,VICTIM,4479
MP20006613,VICTIM,4479
MP20010635,VICTIM,4480
MP20009453,SUSPECT,4481
MP20009496,SUSPECT,4481
MP20006276,SUSPECT,4482
MP20006276,VICTIM,4482
MP20008500,SUSPECT,4483
MP20009484,SUSPECT,4483
MP20001270,VICTIM,4484
MP20002630,SUSPECT,4485
MP20008678,VICTIM,4486
MP20006314,SUSPECT,4487
MP20009453,SUSPECT,4488
MP20009496,SUSPECT,4488
MP20010264,VICTIM,4489
MP20006472,SUSPECT,4490
MP20002636,VICTIM,4491
MP20009484,SUSPECT,4492
MP20001212,SUSPECT,4493
MP20011498,SUSPECT,4493
MP20008840,SUSPECT,4494
MP20009484,SUSPECT,4494
MP20002884,VICTIM,4495
MP20006666,VICTIM,4496
MP20000390,SUSPECT,4497
MP20006472,SUSPECT,4497
MP20008963,VICTIM,4498
MP20008752,VICTIM,4499
MP20008752,VICTIM,4500
MP20003237,VICTIM,4501
MP20011617,VICTIM,4502
MP20009444,VICTIM,4503
MP20007813,VICTIM,4504
MP20005287,SUSPECT,4505
MP20008125,SUSPECT,4506
MP20010185,SUSPECT,4507
MP20010534,SUSPECT,4508
MP20011925,SUSPECT,4509
MP20000095,SUSPECT,4510
MP20001273,SUSPECT,4511
MP20006664,SUSPECT,4512
MP20011580,SUSPECT,4513
MP20000181,SUSPECT,4514
MP20002783,SUSPECT,4515
MP20003851,SUSPECT,4516
MP20011252,VICTIM,4517
MP20010108,VICTIM,4518
MP20007119,VICTIM,4519
