CID,Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor,dateIncident,weekNumber,involvementType,personID,age,sex
MP20011422 - 488 PC,MP20011422,"Apr 24, 2020, 7:28:32 AM","Apr 23, 2020, 4:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1213 NORWEGIAN AVE,MODESTO,CALIFORNIA,95350,-120.9775392,37.67165589,0,0,0,NULL,MISDEMEANOR,4/24/2020,23,VICTIM,5228,43,FEMALE
MP20011144 - 460 (B) PC,MP20011144,"Apr 21, 2020, 3:49:00 PM","Mar 27, 2020, 12:00:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3937 E E ORANGEBURG AVE,MODESTO,CALIFORNIA,95355,-120.9222547,37.66368576,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY,4/21/2020,23,VICTIM,5229,43,FEMALE
MP20007728 - 460(B) PC,MP20007728,"Mar 13, 2020, 11:57:37 PM","Mar 13, 2020, 11:57:37 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,106 LITA CT,MODESTO,CALIFORNIA,95351,-120.9896312,37.61642719,0,0,0,NULL,FELONY,3/13/2020,17,VICTIM,5230,43,MALE
MP20001622 - 460 (A) PC,MP20001622,"Jan 17, 2020, 10:53:00 PM","Jan 17, 2020, 10:53:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,744 EMPIRE AVE,MODESTO,CALIFORNIA,95354,-120.9682988,37.62758495,0,0,0,RESIDENCE - UNKNOWN,FELONY,1/17/2020,9,VICTIM,5231,43,MALE
MP20000288 - 243 (E)(1) PC,MP20000288,"Jan 4, 2020, 5:53:26 AM","Jan 4, 2020, 5:53:26 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95358,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,1/4/2020,7,VICTIM,5232,43,FEMALE
MP20007741 - 273.5 (A) PC,MP20007741,"Mar 14, 2020, 4:11:46 AM","Mar 14, 2020, 4:11:46 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,95354,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,3/14/2020,17,SUSPECT,5233,43,MALE
MP20007741 - 243 (E)(1) PC,MP20007741,"Mar 14, 2020, 4:11:46 AM","Mar 14, 2020, 4:11:46 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MO,NULL,95354,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,3/14/2020,17,SUSPECT,5233,43,MALE
MP20011062 - 243 (E)(1) PC,MP20011062,"Apr 20, 2020, 5:03:49 PM","Apr 20, 2020, 5:03:49 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95350,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,4/20/2020,23,VICTIM,5234,43,MALE
MP20010545 - 484 (A) PC,MP20010545,"Apr 15, 2020, 3:16:00 PM","Apr 14, 2020, 6:00:00 PM",484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252,2313 BELLINGHAM WAY,MODESTO,CALIFORNIA,95355,-120.9388666,37.67464313,0,0,0,NULL,MISDEMEANOR,4/15/2020,22,VICTIM,5235,43,FEMALE
MP20801035 - 488 PC,MP20801035,"Apr 24, 2020, 9:33:00 AM","Apr 24, 2020, 6:20:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1108 MASERATI CT,MODESTO,CALIFORNIA,95356,-120.9775899,37.69351239,0,0,0,NULL,MISDEMEANOR,4/24/2020,23,VICTIM,5236,43,MALE
MP20000058 - 460(B) PC,MP20000058,"Jan 1, 2020, 3:42:29 PM","Jan 1, 2020, 3:24:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,601 MAGNOLIA AVE,MO,NULL,95354,-120.9968992,37.65264167,1,0,0,NULL,FELONY,1/1/2020,7,SUSPECT,5237,42,MALE
MP20011510 - 273.5 (A) PC,MP20011510,"Apr 24, 2020, 10:01:55 PM","Apr 24, 2020, 10:01:55 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MODESTO,CALIFORNIA,95350,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,4/24/2020,23,SUSPECT,5238,43,FEMALE
MP20005139 - 273.5 (A) PC,MP20005139,"Feb 20, 2020, 9:45:23 AM","Feb 20, 2020, 9:45:23 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,NULL,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,2/20/2020,14,SUSPECT,5239,42,MALE
MP20011044 - 211 PC,MP20011044,"Apr 20, 2020, 2:31:39 PM","Apr 20, 2020, 2:31:39 PM",211 PC,211 PC ROBBERY 03 Robbery 853,801 9TH ST,MODESTO,CALIFORNIA,95354,-120.9993941,37.63790622,1,0,0,NULL,FELONY,4/20/2020,23,VICTIM,5240,43,FEMALE
MP20004703 - 460(B) PC,MP20004703,"Feb 16, 2020, 4:46:25 AM","Feb 16, 2020, 4:46:25 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,110 MC HENRY AVE,MODESTO,CALIFORNIA,95354,-120.9934465,37.64574624,0,0,0,NULL,FELONY,2/16/2020,13,VICTIM,5241,42,MALE
MP20000530 - 488 PC,MP20000530,"Jan 7, 2020, 8:56:00 AM","Jan 6, 2020, 6:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1309 SYLVAN MEADOWS DR,MODESTO,CALIFORNIA,95355,-120.9749023,37.69141195,0,0,0,NULL,MISDEMEANOR,1/7/2020,8,VICTIM,5242,42,MALE
MP20004405 - 487 (A) PC,MP20004405,"Feb 13, 2020, 11:07:58 AM","Feb 11, 2020, 5:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,206 HACKBERRY AVE,MODESTO,CALIFORNIA,95354,-121.0011907,37.64750963,0,0,0,NULL,FELONY,2/13/2020,13,VICTIM,5243,42,MALE
MP20800813 - 460(B) PC,MP20800813,"Mar 27, 2020, 3:18:00 AM","Mar 27, 2020, 2:15:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,SNYDER,MODESTO,CALIFORNIA,NULL,NULL,NULL,0,0,0,NULL,FELONY,3/27/2020,19,VICTIM,5244,42,MALE
MP20011860 - 488 PC,MP20011860,"Apr 28, 2020, 10:53:45 AM","Apr 27, 2020, 10:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,2308 SNYDER AVE,MODESTO,CALIFORNIA,95356,-121.0377865,37.69659762,0,0,0,NULL,MISDEMEANOR,4/28/2020,24,VICTIM,5245,43,MALE
MP20011860 - 460 (A) PC,MP20011860,"Apr 28, 2020, 10:53:45 AM","Apr 27, 2020, 10:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2308 SNYDER AVE,MODESTO,CALIFORNIA,95356,-121.0377865,37.69659762,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,4/28/2020,24,VICTIM,5245,43,MALE
MP20003442 - 10851 VC,MP20003442,"Feb 4, 2020, 10:30:00 AM","Feb 4, 2020, 12:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2808 AMIR DR,MO,NULL,95355,-120.9430597,37.68061524,0,0,0,NULL,FELONY,2/4/2020,12,VICTIM,5246,42,MALE
MP20800198 - 487 (A) PC,MP20800198,"Jan 22, 2020, 10:22:00 PM","Jan 22, 2020, 7:20:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: MISD 06 Theft 2285,PLAZA PARKWAY & SISK RD,MODESTO,CALIFORNIA,95350,-121.0383295,37.67104666,0,0,0,NULL,FELONY,1/22/2020,10,VICTIM,5247,42,FEMALE
MP20007818 - 460 (A) PC,MP20007818,"Mar 14, 2020, 9:16:00 PM","Mar 14, 2020, 8:40:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1016 SOUTH AVE,MODESTO,CALIFORNIA,95351,-121.0067145,37.62402499,0,0,0,NULL,FELONY,3/14/2020,17,VICTIM,5248,42,FEMALE
MP20003671 - 10851 VC,MP20003671,"Feb 6, 2020, 8:11:29 AM","Feb 5, 2020, 11:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,611 16TH ST,MO,NULL,95354,-120.9907123,37.64112051,0,0,0,NULL,FELONY,2/6/2020,12,VICTIM,5249,42,MALE
MP20011400 - 215 (A) PC,MP20011400,"Apr 24, 2020, 2:03:33 AM","Apr 24, 2020, 2:03:33 AM",215 (A) PC,215 (A) PC CARJACKING 03 Robbery 937,1516 CARVER RD,MO,NULL,95350,-121.0217652,37.66673701,0,0,0,NULL,FELONY,4/24/2020,23,VICTIM,5250,42,FEMALE
MP20004487 - 460(B) PC,MP20004487,"Feb 14, 2020, 4:24:17 AM","Feb 13, 2020, 10:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1475 PRESCOTT RD ,MODESTO,NULL,NULL,-121.0001102,37.63880547,0,0,0,NULL,FELONY,2/14/2020,13,VICTIM,5251,42,FEMALE
