year,state_abbr,type,population,incidents,unemp
1984,NM,homicide,1424000,130,0.078
1984,NV,homicide,911000,98,0.079
1984,NY,homicide,17735000,1786,0.072
1984,OH,homicide,10752000,551,0.095
1984,OK,homicide,3298000,258,0.071
1984,OR,homicide,2674000,128,0.094
1984,PA,homicide,11901000,538,0.091
1984,RI,homicide,962000,33,0.055
1984,SC,homicide,3300000,305,0.069
1984,SD,homicide,706000,13,0.044
1984,TN,homicide,4717000,394,0.086
1984,TX,homicide,15989000,2093,0.061
1984,UT,homicide,1652000,47,0.065
1984,VA,homicide,5636000,434,0.051
1984,VT,homicide,530000,12,0.051
1984,WA,homicide,4349000,202,0.093
1984,WI,homicide,4766000,117,0.074
1984,WV,homicide,1952000,86,0.148
1984,WY,homicide,511000,17,0.063
1985,AK,homicide,521000,51,0.097
1985,AL,homicide,4021000,396,0.092
1985,AR,homicide,2359000,187,0.087
1985,AZ,homicide,3187000,254,0.063
1985,CA,homicide,26365000,2770,0.072
1985,CO,homicide,3231000,189,0.061
1985,CT,homicide,3174000,120,0.047
1985,DC,homicide,626000,147,0.081
1985,DE,homicide,622000,30,0.052
1985,FL,homicide,11366000,1296,0.06
1985,GA,homicide,5976000,620,0.064
1985,HI,homicide,1054000,43,0.054
1985,IA,homicide,2884000,55,0.075
1985,ID,homicide,1005000,22,0.079
1985,IL,homicide,11535000,927,0.091
1985,IN,homicide,5499000,319,0.078
1985,KS,homicide,2450000,121,0.051
1985,KY,homicide,3726000,256,0.092
1985,LA,homicide,4481000,487,0.116
1985,MA,homicide,5822000,202,0.04
1985,MD,homicide,4392000,348,0.046
1985,ME,homicide,1164000,28,0.055
1985,MI,homicide,9088000,1018,0.1
1985,MN,homicide,4193000,88,0.06
1985,MO,homicide,5029000,409,0.065
1985,MT,homicide,826000,48,0.077
1985,NC,homicide,6255000,520,0.056
1985,ND,homicide,685000,7,0.057
1985,NE,homicide,1606000,47,0.052
1985,NH,homicide,998000,21,0.037
1985,NJ,homicide,7562000,407,0.056
1985,NM,homicide,1450000,158,0.083
1985,NV,homicide,936000,96,0.077
1985,NY,homicide,17783000,1683,0.066
1985,OH,homicide,10744000,554,0.089
1985,OK,homicide,3301000,254,0.072
1985,OR,homicide,2687000,125,0.088
1985,PA,homicide,11853000,550,0.08
1985,RI,homicide,968000,35,0.047
1985,SC,homicide,3347000,304,0.069
1985,SD,homicide,708000,13,0.049
1985,TN,homicide,4762000,429,0.08
1985,TX,homicide,16370000,2132,0.07
1985,UT,homicide,1645000,50,0.06
1985,VA,homicide,5706000,405,0.055
1985,VT,homicide,535000,18,0.048
1985,WA,homicide,4409000,231,0.084
1985,WI,homicide,4775000,135,0.072
1985,WV,homicide,1936000,73,0.131
1985,WY,homicide,509000,22,0.069
1986,AK,homicide,534000,46,0.11
1986,AL,homicide,4053000,409,0.097
1986,AR,homicide,2372000,191,0.086
1986,AZ,homicide,3317000,307,0.069
1986,CA,homicide,26981000,3038,0.067
1986,CO,homicide,3267000,230,0.075
1986,CT,homicide,3189000,148,0.039
1986,DC,homicide,626000,194,0.075
1986,DE,homicide,633000,31,0.043
1986,FL,homicide,11675000,1371,0.058
1986,GA,homicide,6104000,686,0.06
1986,HI,homicide,1062000,51,0.048
1986,IA,homicide,2851000,51,0.068
1986,ID,homicide,1003000,32,0.085
1986,IL,homicide,11533000,1023,0.083
1986,IN,homicide,5504000,329,0.069
1986,KS,homicide,2461000,108,0.053
1986,KY,homicide,3728000,248,0.094
1986,LA,homicide,4501000,575,0.128
1986,MA,homicide,5832000,208,0.039
1986,MD,homicide,4463000,401,0.046
1986,ME,homicide,1174000,23,0.053
1986,MI,homicide,9145000,1032,0.088
1986,MN,homicide,4214000,105,0.055
1986,MO,homicide,5066000,464,0.062
1986,MT,homicide,819000,24,0.079
1986,NC,homicide,6331000,515,0.053
1986,ND,homicide,679000,7,0.059
1986,NE,homicide,1598000,50,0.05
1986,NH,homicide,1027000,23,0.028
1986,NJ,homicide,7620000,399,0.05
1986,NM,homicide,1479000,170,0.093
1986,NV,homicide,963000,121,0.062
1986,NY,homicide,17772000,1907,0.062
1986,OH,homicide,10752000,595,0.083
1986,OK,homicide,3305000,269,0.082
1986,OR,homicide,2698000,178,0.081
1986,PA,homicide,11889000,659,0.069
1986,RI,homicide,975000,34,0.041
1986,SC,homicide,3378000,291,0.064
1986,SD,homicide,708000,28,0.046
1986,TN,homicide,4803000,501,0.079
1986,TX,homicide,16682000,2258,0.088
1986,UT,homicide,1665000,53,0.061
1986,VA,homicide,5787000,411,0.05
1986,VT,homicide,541000,11,0.043
1986,WA,homicide,4463000,223,0.081
1986,WI,homicide,4785000,149,0.07
1986,WV,homicide,1919000,114,0.118
1986,WY,homicide,507000,27,0.089
1987,AK,homicide,525000,53,0.103
1987,AL,homicide,4083000,380,0.081
1987,AR,homicide,2388000,182,0.081
1987,AZ,homicide,3386000,253,0.065
1987,CA,homicide,27663000,2924,0.058
1987,CO,homicide,3296000,191,0.076
1987,CT,homicide,3211000,156,0.034
1987,DC,homicide,622000,225,0.063
1987,DE,homicide,644000,33,0.031
1987,FL,homicide,12023000,1371,0.053
1987,GA,homicide,6222000,735,0.057
1987,HI,homicide,1083000,52,0.038
1987,IA,homicide,2834000,59,0.055
1987,ID,homicide,998000,31,0.076
1987,IL,homicide,11582000,967,0.075
1987,IN,homicide,5531000,307,0.062
1987,KS,homicide,2476000,110,0.049
1987,KY,homicide,3727000,280,0.085
1987,LA,homicide,4461000,496,0.121
1987,MA,homicide,5855000,173,0.032
1987,MD,homicide,4535000,436,0.044
1987,ME,homicide,1187000,30,0.044
1987,MI,homicide,9200000,1124,0.083
1987,MN,homicide,4246000,112,0.051
1987,MO,homicide,5103000,423,0.063
1987,MT,homicide,809000,33,0.075
1987,NC,homicide,6413000,519,0.045
1987,ND,homicide,672000,10,0.05
1987,NE,homicide,1594000,55,0.044
1987,NH,homicide,1057000,32,0.023
1987,NJ,homicide,7672000,351,0.041
1987,NM,homicide,1500000,152,0.087
1987,NV,homicide,1007000,85,0.061
1987,NY,homicide,17825000,2016,0.049
1987,OH,homicide,10784000,630,0.071
1987,OK,homicide,3272000,244,0.073
1987,OR,homicide,2724000,153,0.063
1987,PA,homicide,11936000,642,0.057
1987,RI,homicide,986000,35,0.036
1987,SC,homicide,3425000,318,0.055
1987,SD,homicide,709000,13,0.042
1987,TN,homicide,4855000,444,0.066
1987,TX,homicide,16789000,1959,0.084
1987,UT,homicide,1680000,55,0.062
1987,VA,homicide,5904000,437,0.043
1987,VT,homicide,548000,15,0.036
