YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1985 - AR,2359000,205233.0,8199,8.7
1985 - AZ,3187000,200781.0,19202,6.3
1985 - CA,26365000,1898280.0,201763,7.2
1985 - CO,3231000,197091.0,15219,6.1
1985 - CT,3174000,149178.0,12758,4.7
1985 - DC,626000,50706.0,10171,8.1
1985 - DE,622000,32344.0,2695,5.2
1985 - FL,11366000,681960.0,106971,6.0
1985 - GA,5976000,382464.0,30311,6.4
1985 - HI,1054000,56916.0,2313,5.4
1985 - IA,2884000,216300.0,6106,7.5
1985 - ID,1005000,79395.0,2360,7.9
1985 - IL,11535000,1049685.0,82448,9.1
1985 - IN,5499000,428922.0,17014,7.8
1985 - KS,2450000,124950.0,8716,5.1
1985 - KY,3726000,342792.0,11384,9.2
1985 - LA,4481000,519796.0,31108,11.6
1985 - MA,5822000,232880.0,31334,4.0
1985 - MD,4392000,202032.0,36655,4.6
1985 - ME,1164000,64020.0,1950,5.5
1985 - MI,9088000,908800.0,66714,10.0
1985 - MN,4193000,251580.0,10751,6.0
1985 - MO,5029000,326885.0,25321,6.5
1985 - MT,826000,63602.0,1722,7.7
1985 - NC,6255000,350280.0,26327,5.6
1985 - ND,685000,39045.0,322,5.7
1985 - NE,1606000,83512.0,3821,5.2
1985 - NH,998000,36926.0,1405,3.7
1985 - NJ,7562000,423472.0,41172,5.6
1985 - NM,1450000,120350.0,10207,8.3
1985 - NV,936000,72072.0,6244,7.7
1985 - NY,17783000,1173678.0,165365,6.6
1985 - OH,10744000,956216.0,41000,8.9
1985 - OK,3301000,237672.0,13930,7.2
1985 - OR,2687000,236456.0,14807,8.8
1985 - PA,11853000,948240.0,39240,8.0
1985 - RI,968000,45496.0,3355,4.7
1985 - SC,3347000,230943.0,21121,6.9
1985 - SD,708000,34692.0,967,4.9
1985 - TN,4762000,380960.0,22592,8.0
1985 - TX,16370000,1145900.0,90030,7.0
1985 - UT,1645000,98700.0,4398,6.0
1985 - VA,5706000,313830.0,16813,5.5
1985 - VT,535000,25680.0,790,4.8
1985 - WA,4409000,370356.0,18757,8.4
1985 - WI,4775000,343800.0,9880,7.2
1985 - WV,1936000,253616.0,3214,13.1
1985 - WY,509000,35121.0,1307,6.9
