year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1984,NH,977000,1308,10,202,,227,869
1984,NJ,7515000,39659,402,2446,,18218,18593
1984,NM,1424000,9798,130,783,,1856,7029
1984,NV,911000,5726,98,553,,2542,2533
1984,NY,17735000,162157,1786,5599,,89900,64872
1984,OH,10752000,41430,551,3734,,15656,21489
1984,OK,3298000,13438,258,1315,,3668,8197
1984,OR,2674000,13533,128,1201,,4508,7696
1984,PA,11901000,38154,538,2764,,17656,17196
1984,RI,962000,3220,33,205,,1091,1891
1984,SC,3300000,20607,305,1329,,3408,15565
1984,SD,706000,1041,13,190,,105,733
1984,TN,4717000,21010,394,1887,,7867,10862
1984,TX,15989000,80737,2093,7343,,28540,42761
1984,UT,1652000,4035,47,336,,958,2694
1984,VA,5636000,16660,434,1503,,5765,8958
1984,VT,530000,769,12,105,,122,530
1984,WA,4349000,17676,202,2176,,5247,10051
1984,WI,4766000,9367,117,790,,3167,5293
1984,WV,1952000,3283,86,305,,744,2148
1984,WY,511000,1237,17,107,,118,995
1985,AK,521000,3031,51,402,,484,2094
1985,AL,4021000,18398,396,1079,,4237,12686
1985,AR,2359000,8199,187,686,,1617,5709
1985,AZ,3187000,19202,254,1458,,4670,12820
1985,CA,26365000,201763,2770,11421,,86387,101185
1985,CO,3231000,15219,189,1321,,4012,9697
1985,CT,3174000,12758,120,763,,6032,5843
1985,DC,626000,10171,147,337,,5230,4457
1985,DE,622000,2695,30,296,,773,1596
1985,FL,11366000,106971,1296,6004,,35506,64165
1985,GA,5976000,30311,620,2587,,9812,17292
1985,HI,1054000,2313,43,310,,1048,912
1985,IA,2884000,6106,55,363,,1187,4501
1985,ID,1005000,2360,22,192,,269,1877
1985,IL,11535000,82448,927,4529,,33120,43872
1985,IN,5499000,17014,319,1318,,5065,10312
1985,KS,2450000,8716,121,719,,1929,5947
1985,KY,3726000,11384,256,806,,2821,7501
1985,LA,4481000,31108,487,1782,,8526,20313
1985,MA,5822000,31334,202,1734,,10974,18424
1985,MD,4392000,36655,348,1700,,13272,21335
1985,ME,1164000,1950,28,167,,284,1471
1985,MI,9088000,66714,1018,6140,,26572,32984
1985,MN,4193000,10751,88,1242,,3598,5823
1985,MO,5029000,25321,409,1468,,7425,16019
1985,MT,826000,1722,48,159,,173,1342
1985,NC,6255000,26327,520,1488,,4893,19426
1985,ND,685000,322,7,50,,44,221
1985,NE,1606000,3821,47,376,,779,2619
1985,NH,998000,1405,21,191,,266,927
1985,NJ,7562000,41172,407,2424,,19282,19059
1985,NM,1450000,10207,158,722,,2003,7324
1985,NV,936000,6244,96,564,,2573,3011
1985,NY,17783000,165365,1683,5706,,89706,68270
1985,OH,10744000,41000,554,3966,,14301,22179
1985,OK,3301000,13930,254,1252,,3526,8898
1985,OR,2687000,14807,125,1363,,4986,8333
1985,PA,11853000,39240,550,2886,,17429,18375
1985,RI,968000,3355,35,253,,1122,1945
1985,SC,3347000,21121,304,1385,,3143,16289
1985,SD,708000,967,13,168,,121,665
1985,TN,4762000,22592,429,2027,,8614,11522
1985,TX,16370000,90030,2132,8364,,31680,47854
1985,UT,1645000,4398,50,381,,908,3059
1985,VA,5706000,16813,405,1551,,5720,9137
1985,VT,535000,790,18,103,,112,557
1985,WA,4409000,18757,231,2420,,5821,10285
1985,WI,4775000,9880,135,875,,3351,5519
1985,WV,1936000,3214,73,359,,728,2054
1985,WY,509000,1307,22,114,,102,1069
1986,AK,534000,3046,46,388,,470,2142
1986,AL,4053000,22616,409,1150,,4523,16534
1986,AR,2372000,9365,191,686,,1890,6598
1986,AZ,3317000,21835,307,1425,,5614,14489
1986,CA,26981000,248370,3038,12119,,92512,140701
1986,CO,3267000,17105,230,1382,,4731,10762
1986,CT,3189000,13578,148,760,,6129,6541
1986,DC,626000,9423,194,328,,4720,4181
1986,DE,633000,2703,31,360,,786,1526
1986,FL,11675000,121013,1371,6152,,42822,70668
1986,GA,6104000,35869,686,2678,,13056,19449
1986,HI,1062000,2604,51,329,,1129,1095
1986,IA,2851000,6703,51,356,,1197,5099
1986,ID,1003000,2232,32,201,,214,1785
1986,IL,11533000,93454,1023,4765,,37583,50083
1986,IN,5504000,16937,329,1424,,4954,10230
1986,KS,2461000,9076,108,810,,1958,6200
1986,KY,3728000,12467,248,860,,3076,8283
1986,LA,4501000,34128,575,1806,,10071,21676
1986,MA,5832000,32476,208,1731,,11239,19298
1986,MD,4463000,37177,401,1944,,13569,21263
1986,ME,1174000,1726,23,174,,328,1201
1986,MI,9145000,73517,1032,6167,,27550,38768
1986,MN,4214000,11991,105,1338,,4299,6249
1986,MO,5066000,29310,464,1480,,8624,18742
1986,MT,819000,1289,24,142,,160,963
1986,NC,6331000,30128,515,1673,,5551,22389
1986,ND,679000,348,7,79,,47,215
1986,NE,1598000,4196,50,393,,817,2936
1986,NH,1027000,1433,23,221,,242,947
1986,NJ,7620000,43623,399,2531,,20473,20220
1986,NM,1479000,10731,170,693,,1916,7952
1986,NV,963000,6923,121,625,,2763,3414
1986,NY,17772000,175210,1907,5415,,91360,76528
1986,OH,10752000,45260,595,4151,,15283,25231
1986,OK,3305000,14423,269,1202,,3521,9431
1986,OR,2698000,14830,178,1379,,5555,7718
1986,PA,11889000,42629,659,2984,,18085,20901
1986,RI,975000,3271,34,209,,1157,1871
1986,SC,3378000,22789,291,1395,,3361,17742
1986,SD,708000,883,28,125,,115,615
1986,TN,4803000,25919,501,2256,,9978,13184
1986,TX,16682000,109925,2258,8607,,40021,59039
1986,UT,1665000,4441,53,421,,976,2991
1986,VA,5787000,17708,411,1533,,6118,9646
1986,VT,541000,807,11,118,,120,558
1986,WA,4463000,19505,223,2382,,6031,10869
1986,WI,4785000,12339,149,961,,3483,7746
1986,WV,1919000,3156,114,362,,787,1893
1986,WY,507000,1486,27,111,,114,1234
1987,AK,525000,2391,53,341,,384,1613
1987,AL,4083000,22833,380,1137,,4581,16735
1987,AR,2388000,9839,182,779,,1890,6988
1987,AZ,3386000,20742,253,1396,,4687,14406
1987,CA,27663000,253943,2924,12109,,83341,155569
1987,CO,3296000,15409,191,1344,,3916,9958
1987,CT,3211000,13455,156,800,,5720,6779
1987,DC,622000,10016,225,245,,4462,5084
1987,DE,644000,2774,33,441,,789,1511
1987,FL,12023000,123168,1371,6032,,42869,72896
1987,GA,6222000,35868,735,2681,,13014,19438
1987,HI,1083000,2851,52,393,,1061,1345
1987,IA,2834000,6553,59,337,,1025,5132
1987,ID,998000,2138,31,175,,242,1690
1987,IL,11582000,92216,967,4443,,36406,50400
1987,IN,5531000,18169,307,1609,,4901,11352
1987,KS,2476000,8932,110,808,,2032,5982
1987,KY,3727000,12589,280,781,,3361,8167
1987,LA,4461000,30916,496,1600,,7987,20833
1987,MA,5855000,33060,173,1868,,10379,20640
1987,MD,4535000,34820,436,1795,,13164,19425
1987,ME,1187000,1806,30,186,,304,1286
1987,MI,9200000,71772,1124,6184,,25442,39022
1987,MN,4246000,12118,112,1439,,4354,6213
1987,MO,5103000,27792,423,1473,,8376,17520
1987,MT,809000,1223,33,160,,196,834
1987,NC,6413000,31039,519,1863,,6023,22634
1987,ND,672000,382,10,63,,51,258
1987,NE,1594000,4004,55,345,,751,2853
1987,NH,1057000,1581,32,281,,280,988
1987,NJ,7672000,41507,351,2559,,17862,20735
1987,NM,1500000,9427,152,646,,1625,7004
1987,NV,1007000,7006,85,622,,2744,3555
1987,NY,17825000,179691,2016,5537,,89721,82417
1987,OH,10784000,45436,630,4305,,16511,23990
1987,OK,3272000,13664,244,1173,,3583,8664
1987,OR,2724000,14697,153,1247,,5338,7959
1987,PA,11936000,44087,642,3130,,17241,23074
1987,RI,986000,3547,35,241,,1062,2209
1987,SC,3425000,22773,318,1497,,3463,17495
1987,SD,709000,849,13,146,,87,603
1987,TN,4855000,25900,444,2133,,9409,13914
1987,TX,16789000,105961,1959,8068,,38053,57881
1987,UT,1680000,3861,55,365,,887,2554
1987,VA,5904000,17414,437,1537,,6244,9196
1987,VT,548000,748,15,123,,92,518
1987,WA,4538000,19945,256,2370,,6417,10902
1987,WI,4807000,12014,168,954,,3192,7700
1987,WV,1897000,2605,92,429,,591,1493
1987,WY,490000,1387,10,154,,98,1125
1988,AK,513000,2682,29,296,,374,1983
1988,AL,4127000,23052,408,1228,,4860,16556
1988,AR,2422000,10237,211,780,,2037,7209
1988,AZ,3466000,21147,294,1345,,4750,14758
1988,CA,28168000,261912,2936,11780,,86141,161055
1988,CO,3290000,15548,187,1269,,3250,10842
1988,CT,3241000,14759,174,849,,6080,7656
1988,DC,620000,11914,369,165,,5690,5690
1988,DE,660000,2981,34,491,,784,1672
1988,FL,12377000,138343,1416,6154,,49916,80857
1988,GA,6401000,42589,748,2970,,15593,23278
1988,HI,1093000,2810,44,355,,919,1492
1988,IA,2834000,7279,47,446,,1132,5654
1988,ID,999000,2345,36,179,,202,1928
1988,IL,11544000,93557,991,4449,,36097,52020
1988,IN,5575000,21187,358,1731,,4963,14135
1988,KS,2487000,9083,85,779,,2136,6083
1988,KY,3721000,12284,229,835,,2764,8456
1988,LA,4420000,31711,512,1702,,9238,20259
1988,MA,5871000,36376,208,1876,,10352,23940
1988,MD,4644000,37466,449,1721,,13994,21302
1988,ME,1206000,1898,37,224,,311,1326
1988,MI,9300000,68980,1009,6462,,22424,39085
1988,MN,4306000,12490,124,1337,,4079,6950
1988,MO,5139000,28393,413,1505,,8638,17837
1988,MT,804000,989,21,135,,182,651
1988,NC,6526000,32753,510,1833,,7085,23325
1988,ND,663000,392,12,74,,54,252
1988,NE,1601000,4374,58,385,,898,3033
1988,NH,1097000,1622,25,276,,231,1090
1988,NJ,7720000,44993,411,2600,,18927,23055
1988,NM,1510000,9938,173,580,,1557,7628
1988,NV,1060000,8275,111,782,,3087,4295
1988,NY,17898000,196396,2244,5479,,97434,91239
1988,OH,10872000,49144,585,4632,,17546,26381
1988,OK,3263000,14179,243,1229,,3428,9279
1988,OR,2741000,14959,139,1111,,5289,8420
1988,PA,12027000,43534,660,2992,,16607,23275
1988,RI,995000,3947,41,303,,1146,2457
1988,SC,3493000,25889,325,1493,,4357,19714
1988,SD,715000,813,22,192,,87,512
1988,TN,4919000,26205,461,2201,,8537,15006
1988,TX,16780000,109499,2022,8119,,39301,60057
1988,UT,1691000,4110,47,399,,915,2749
1988,VA,5996000,17940,468,1622,,6748,9102
1988,VT,556000,791,11,128,,89,563
1988,WA,4619000,21543,264,2611,,6738,11930
1988,WI,4858000,10414,144,965,,3258,6047
1988,WV,1884000,2476,93,353,,644,1386
1988,WY,471000,1479,12,113,,71,1283
1989,AK,527000,2623,42,279,,356,1946
1989,AL,4118000,24329,421,1276,,5515,17117
1989,AR,2406000,11397,203,924,,2660,7610
