Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20006751,"Mar 5, 2020, 10:48:00 AM","Mar 4, 2020, 4:00:00 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,3401 DALE RD,MODESTO,CALIFORNIA,95356,-121.0499447,37.68821795,0,0,0,,FELONY
MP20006710,"Mar 5, 2020, 12:18:23 AM","Mar 4, 2020, 9:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,135 E GRANGER AVE,MO,,95350,-120.9926021,37.66750748,0,0,0,,MISDEMEANOR
MP20006718,"Mar 5, 2020, 1:46:00 AM","Mar 5, 2020, 1:45:00 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,3225 MC HENRY AVE,MODESTO,CALIFORNIA,95350,-120.9943051,37.68447686,0,0,0,,FELONY
MP20005909,"Feb 27, 2020, 4:45:36 AM","Feb 27, 2020, 4:45:36 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"AKEBY DR, MO / GAGOS DR, MO ( 31/D2 )",MODESTO,CALIFORNIA,95356,-121.0625583,37.69650487,0,0,0,,FELONY
MP20006582,"Mar 3, 2020, 5:50:00 PM","Mar 3, 2020, 5:46:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,117 OAK ST,MO,,95351,-121.0083146,37.63614643,0,0,0,,FELONY
MP20006588,"Mar 3, 2020, 6:35:00 PM","Mar 3, 2020, 6:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,808 KERR AVE,MO,,95354,-120.9711316,37.62639176,0,0,0,,FELONY
MP20006605,"Mar 3, 2020, 10:42:43 PM","Mar 3, 2020, 10:37:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,628 KERR AVE,MO,,95354,-120.9715332,37.62992593,0,0,0,,FELONY
MP20006607,"Mar 3, 2020, 10:17:00 PM","Mar 3, 2020, 9:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2709 JANNA AVE,MO,,95350,-121.0302197,37.6799689,0,0,0,,FELONY
MP20006668,"Mar 4, 2020, 2:21:00 PM","Mar 4, 2020, 1:45:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2517 HADDON AVE,MO,,95354,-120.9489996,37.64194775,0,0,0,,FELONY
MP20006699,"Mar 4, 2020, 9:00:00 PM","Mar 3, 2020, 11:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"CORALWOOD RD, MO / DRAGOO PARK DR, MO ( 33/B3 )",,,,-120.9848214,37.69545672,0,0,0,,FELONY
MP20006714,"Mar 5, 2020, 1:05:00 AM","Mar 5, 2020, 12:40:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"DRY CREEK DR, MO / LINCOLN AVE, MO ( 43/B4 )",,,,-120.9390856,37.64900677,0,0,0,,FELONY
