Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20002884,"Jan 29, 2020, 8:37:25 PM","Jan 29, 2020, 8:00:00 PM",243.4 (D) PC,243.4 (D) PC SEXUAL BATTERY FOR THE PURPOSE OF SEXUAL AROUSAL: FELONY 04 Aggravated Assault 1205,1104 WESTMONT TERRACE,MODESTO,CALIFORNIA,95356,-120.9776832,37.68994933,1,0,0,,FELONY
MP20002879,"Jan 29, 2020, 7:02:02 PM","Jan 29, 2020, 7:02:02 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,140 COVENA AVE,MODESTO,CALIFORNIA,95354,-120.9717056,37.63938858,1,1,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20002903,"Jan 30, 2020, 5:44:27 AM","Jan 29, 2020, 3:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3547 FOUNTAIN WAY,MODESTO,CALIFORNIA,95356,-120.9771474,37.6904872,0,0,0,,FELONY
MP20002882,"Jan 29, 2020, 5:54:12 PM","Jan 29, 2020, 9:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,110 JAMES ST,MODESTO,,95354,-120.9871385,37.63868094,0,0,0,,FELONY
MP20002973,"Jan 30, 2020, 5:16:01 PM","Jan 30, 2020, 5:16:01 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,2800 SISK RD,MODESTO,CALIFORNIA,95350,-121.0484346,37.67961495,1,0,0,,FELONY
MP20002973,"Jan 30, 2020, 5:16:01 PM","Jan 30, 2020, 5:16:01 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2800 SISK RD,MODESTO,CALIFORNIA,95350,-121.0484346,37.67961495,1,0,0,,FELONY
MP20002850,"Jan 29, 2020, 3:41:00 PM","Jan 29, 2020, 12:30:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1231 9TH ST,MODESTO,CALIFORNIA,95354,-121.0039981,37.6419606,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20002811,"Jan 29, 2020, 8:56:44 AM","Dec 20, 2019, 5:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,914 13TH ST,MODESTO,CALIFORNIA,95354,-120.9965341,37.6423237,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20002919,"Jan 30, 2020, 8:11:08 AM","Jan 30, 2020, 8:00:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,112 WALDEN ST,MODESTO,CALIFORNIA,95354,-120.9883157,37.64020629,1,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20002933,"Jan 30, 2020, 10:21:23 AM","Jan 30, 2020, 10:21:23 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1521 VERMOUTH WAY,MO,CALIFORNIA,95358,-121.0003948,37.60796089,1,0,0,,FELONY
MP20002933,"Jan 30, 2020, 10:21:23 AM","Jan 30, 2020, 10:21:23 AM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,1521 VERMOUTH WAY,MO,CALIFORNIA,95358,-121.0003948,37.60796089,1,0,0,,FELONY
MP20002933,"Jan 30, 2020, 10:21:23 AM","Jan 30, 2020, 10:21:23 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1521 VERMOUTH WAY,MO,CALIFORNIA,95358,-121.0003948,37.60796089,1,0,0,,FELONY
MP20002734,"Jan 28, 2020, 1:47:57 PM","Jan 20, 2020, 12:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,4929 YOSEMITE BLVD,EMPIRE,CALIFORNIA,95357,-120.9031774,37.63859501,0,0,0,,FELONY
MP20002672,"Jan 28, 2020, 4:45:00 AM","Jan 27, 2020, 6:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1308 EMIGRANT WAY,MO,,95358,-121.0366778,37.65381577,0,0,0,,FELONY
MP20002706,"Jan 28, 2020, 9:19:09 AM","Jan 27, 2020, 7:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,200 HUBERT DR,MO,,95354,-120.9332341,37.64060017,0,0,0,,FELONY
MP20002885,"Jan 29, 2020, 9:18:00 PM","Jan 29, 2020, 3:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3229 HEATHERWOOD CT,MODESTO,CALIFORNIA,95354,-120.9343974,37.63937333,0,0,0,,FELONY
MP20002898,"Jan 30, 2020, 1:47:00 AM","Jan 30, 2020, 12:30:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3405 POPPYPATCH DR,MO,,95354,-120.9313738,37.64287512,0,0,0,,FELONY
MP20002893,"Jan 29, 2020, 11:50:00 PM","Jan 29, 2020, 8:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,142 MELROSE ST,MO,,95354,-120.9864412,37.64691872,0,0,0,,FELONY
MP20002896,"Jan 30, 2020, 12:46:00 AM","Jan 28, 2020, 12:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3901 VON SAVOYE LN,MO,,95355,-120.9244511,37.66872453,0,0,0,,FELONY
MP20002914,"Jan 30, 2020, 8:50:00 AM","Jan 30, 2020, 7:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2808 ZARAND DR,MO,,95355,-120.9653601,37.67998651,0,0,0,,FELONY
MP20002929,"Jan 30, 2020, 10:40:00 AM","Jan 25, 2020, 9:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3513 AKEBY DR,MODESTO,CALIFORNIA,95356,-121.0620033,37.69674461,0,0,0,,FELONY
MP20800214,"Jan 23, 2020, 1:59:00 PM","Jan 22, 2020, 11:40:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1700 MC HENRY AVE,MODESTO,CALIFORNIA,95350,-120.9923551,37.66894994,0,0,0,,MISDEMEANOR
MP20800263,"Jan 28, 2020, 4:21:00 PM","Jan 24, 2020, 4:10:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,301 FERGUSON AVE,MODESTO,CALIFORNIA,95354,-120.9678044,37.6414554,0,0,0,,FELONY
MP20800266,"Jan 26, 2020, 12:00:00 PM","Jan 26, 2020, 3:30:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,140 SANTA BARBARA AVE,MODESTO,CALIFORNIA,95354,-120.9752111,37.63939048,0,0,0,,FELONY
MP20800267,"Jan 28, 2020, 11:42:00 AM","Jan 26, 2020, 12:00:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,232 ORANGE AVE,MODESTO,CALIFORNIA,95350,-121.0039178,37.64832518,0,0,0,,MISDEMEANOR
MP20800270,"Jan 29, 2020, 10:01:00 AM","Jan 28, 2020, 11:25:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1914 RALSTON CT,MODESTO,CALIFORNIA,95350,-121.0013576,37.67170927,0,0,0,,MISDEMEANOR
MP20003044,"Jan 31, 2020, 9:29:07 AM","Jan 31, 2020, 9:29:07 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,"E ORANGEBURG AVE, MO / OAKDALE RD, MO ( 42/F1 )",MODESTO,CALIFORNIA,,-120.9575219,37.66355044,0,0,0,,FELONY
MP20003072,"Jan 31, 2020, 2:56:32 PM","Jan 31, 2020, 2:30:00 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1701 STANDIFORD AVE,MODESTO,CALIFORNIA,95356,-121.0227509,37.68984659,0,0,0,,FELONY
MP20003080,"Jan 31, 2020, 4:00:11 PM","Jan 31, 2020, 4:00:11 PM",211 PC,211 PC ROBBERY 03 Robbery 853,1200 W RUMBLE RD,MO,CALIFORNIA,95350,-121.0104719,37.68169223,1,0,0,,FELONY
MP20003060,"Jan 31, 2020, 12:22:00 PM","Jan 31, 2020, 10:00:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2040 WINTON AVE,MODESTO,CALIFORNIA,95350,-121.0298572,37.68322377,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20003051,"Jan 31, 2020, 10:26:10 AM","Jan 31, 2020, 10:26:10 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1513 CLAUD AVE,MODESTO,CA,95350,-121.0174298,37.67478101,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20003048,"Jan 31, 2020, 8:48:00 AM","Jan 31, 2020, 3:23:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1613 PELTON AVE,MODESTO,CALIFORNIA,95351,-121.0151296,37.61666432,0,0,0,,FELONY
MP20003028,"Jan 31, 2020, 7:53:00 AM","Jan 30, 2020, 7:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3917 SHARPSBURG DR,MODESTO,CALIFORNIA,95357,-120.9229539,37.65101385,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20003103,"Jan 31, 2020, 6:57:53 PM","Jan 31, 2020, 6:57:53 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,124 FRESNO AVE,MO,CALIFORNIA,95351,-121.0015876,37.62998786,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20003135,"Feb 1, 2020, 6:53:05 AM","Jan 31, 2020, 10:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,1608 RADCLIFFE AVE,MODESTO,CALIFORNIA,95358,-121.0427609,37.65919226,0,0,0,,FELONY
MP20003126,"Jan 31, 2020, 11:15:06 PM","Jan 31, 2020, 11:15:06 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,3709 BRIDGEFORD LN,MO,CALIFORNIA,,-120.9920173,37.69199756,1,0,0,,FELONY
MP20003126,"Jan 31, 2020, 11:15:06 PM","Jan 31, 2020, 11:15:06 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,3709 BRIDGEFORD LN,MO,CALIFORNIA,,-120.9920173,37.69199756,1,0,0,,
MP20003158,"Feb 1, 2020, 1:45:50 PM","Feb 1, 2020, 1:45:50 PM",245 (A)(2) PC,245 (A)(2) PC ASSAULT WITH FIREARM ON PERSON: FELONY 04 Aggravated Assault 1233,3405 JAMESTOWN DR,MO,,95354,-120.9315875,37.64475465,1,0,0,,FELONY
MP20003168,"Feb 1, 2020, 3:09:12 PM","Feb 1, 2020, 3:09:12 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,1800 PRESCOTT RD,MO,,95350,-121.0301416,37.67208866,1,0,0,,FELONY
MP20003168,"Feb 1, 2020, 3:09:12 PM","Feb 1, 2020, 3:09:12 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1800 PRESCOTT RD,MO,,95350,-121.0301416,37.67208866,1,0,0,,FELONY
MP20003097,"Jan 31, 2020, 5:51:06 PM","Jan 31, 2020, 5:51:06 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,3801 BEYERWOOD CT,MO,,95355,-120.967848,37.69344696,1,0,0,,FELONY
MP20003217,"Feb 1, 2020, 10:15:24 PM","Feb 1, 2020, 10:15:24 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1104 WHITTLE CT,MO,CALIFORNIA,95351,-121.0236568,37.61554602,1,0,1,,FELONY
MP20003205,"Feb 1, 2020, 6:03:11 PM","Jan 30, 2020, 10:00:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,3012 REDBUD CT,MODESTO,CALIFORNIA,95354,-120.9381546,37.64112663,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20003015,"Jan 31, 2020, 2:30:00 AM","Jan 31, 2020, 1:15:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,208 COLLEGE AVE,MO,,95350,-121.0062837,37.64760209,0,0,0,,FELONY
MP20003019,"Jan 31, 2020, 6:00:00 AM","Jan 30, 2020, 1:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1645 TONILANE,MO,,95351,-121.0163163,37.62279242,0,0,0,,FELONY
MP20002693,"Jan 28, 2020, 8:00:21 AM","Jan 28, 2020, 8:00:21 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,144 LEE ST,MODESTO,CALIFORNIA,95354,-120.9915832,37.64744337,0,0,0,,FELONY
MP20003086,"Jan 31, 2020, 3:34:30 PM","Jan 25, 2020, 6:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3112 SCENIC DR,MO,,95355,-120.9365814,37.65528111,0,0,0,,FELONY
MP20003228,"Feb 2, 2020, 1:45:44 AM","Feb 2, 2020, 1:45:44 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1300 WOODLAND AVE,MODESTO,CALIFORNIA,95351,-121.0285813,37.65265006,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20003122,"Jan 31, 2020, 10:39:02 PM","Jan 27, 2020, 2:00:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1025 ROSELAWN AVE,MODESTO,CALIFORNIA,95351,-121.0050318,37.615243,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20003119,"Jan 31, 2020, 10:41:25 PM","Jan 31, 2020, 10:00:00 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,525 MAGNOLIA AVE,MODESTO,CALIFORNIA,95354,-120.9967924,37.65199157,0,1,0,,FELONY
MP20003119,"Jan 31, 2020, 10:41:25 PM","Jan 31, 2020, 10:00:00 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,525 MAGNOLIA AVE,MODESTO,CALIFORNIA,95354,-120.9967924,37.65199157,0,1,0,,FELONY
MP20003162,"Feb 1, 2020, 12:55:00 PM","Feb 1, 2020, 12:30:00 PM",243 (D) PC,243 (D) PC BATTERY W/SERIOUS BODILY INJURY: FELONY 04 Aggravated Assault 1192,School St,MODESTO,CALIFORNIA,,,,0,0,0,,FELONY
MP20003303,"Feb 3, 2020, 7:01:20 AM","Feb 2, 2020, 10:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,101 LINCOLN AVE,MODESTO,CALIFORNIA,,-120.9396163,37.63844616,0,0,0,,FELONY
MP20003286,"Feb 2, 2020, 9:18:05 PM","Feb 2, 2020, 9:18:05 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1911 TOYON AVE,MODESTO,CALIFORNIA,95350,-120.9930609,37.67196621,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20003329,"Feb 3, 2020, 9:39:59 AM","Feb 3, 2020, 8:00:00 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,1217 10TH ST,MODESTO,CALIFORNIA,95354,-121.0028666,37.64256484,0,0,0,,FELONY
MP20003212,"Feb 1, 2020, 9:41:44 PM","Feb 1, 2020, 9:41:44 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,3520 WIE,,,,-121.0047234,37.69044362,0,1,0,,FELONY
MP20003212,"Feb 1, 2020, 9:41:44 PM","Feb 1, 2020, 9:41:44 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,3520 WIE,,,,-121.0047234,37.69044362,0,1,0,,FELONY
MP20003360,"Feb 3, 2020, 3:01:14 PM","Jan 20, 2020, 9:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3400 COFFEE RD,MODESTO,CALIFORNIA,95355,-120.9759736,37.68667062,0,0,0,,FELONY
MP20003386,"Feb 3, 2020, 3:51:08 PM","Feb 3, 2020, 12:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,601 NEECE DR,MO,,,-121.0007046,37.62255439,0,0,0,NON-RESIDENCE - DAY (6AM - 6PM),FELONY
MP20003358,"Feb 3, 2020, 10:10:42 AM","Dec 21, 2019, 10:00:00 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,104 PARK AVE,MODESTO,CALIFORNIA,95354,-120.9988487,37.64586862,0,0,0,,FELONY
MP20003358,"Feb 3, 2020, 10:10:42 AM","Dec 21, 2019, 10:00:00 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,104 PARK AVE,MODESTO,CALIFORNIA,95354,-120.9988487,37.64586862,0,0,0,,FELONY
MP20003358,"Feb 3, 2020, 10:10:42 AM","Dec 21, 2019, 10:00:00 PM",261 (A)(2) PC,261 (A)(2) PC RAPE BY FORCE/FEAR/ETC 02a. Rape 1375,104 PARK AVE,MODESTO,CALIFORNIA,95354,-120.9988487,37.64586862,0,0,0,,FELONY
MP20003400,"Feb 3, 2020, 8:06:54 PM","Feb 3, 2020, 8:00:00 PM",484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252,748 CODINGTON WAY,MODESTO,CALIFORNIA,95357,-120.9215006,37.64930638,0,0,1,,MISDEMEANOR
MP20003361,"Feb 3, 2020, 2:16:20 PM","Feb 3, 2020, 2:15:00 PM",243 (D) PC,243 (D) PC BATTERY W/SERIOUS BODILY INJURY: FELONY 04 Aggravated Assault 1192,3801 BEYERWOOD CT,MO,,95355,-120.967848,37.69344696,0,0,0,,FELONY
MP20003414,"Feb 4, 2020, 1:56:14 AM","Feb 4, 2020, 1:56:14 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1108 CROWS LANDING RD,MO,,95351,-120.9932968,37.61364353,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20003183,"Feb 1, 2020, 5:46:00 PM","Feb 1, 2020, 5:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"16TH ST, MO / BURNEY ST, MO ( 46/B1 )",,,,-120.9889196,37.64005589,0,0,0,,FELONY
MP20003203,"Feb 1, 2020, 7:13:00 PM","Feb 1, 2020, 10:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,"WISDOM WAY, MO / MERLE AVE, MO ( 37/F3 )",,,,-120.9555743,37.67081321,0,0,0,,FELONY
MP20003238,"Feb 2, 2020, 8:24:00 AM","Feb 1, 2020, 8:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2409 TALLENT DR,MO,,95355,-120.9513411,37.65844908,0,0,0,,FELONY
MP20003344,"Feb 3, 2020, 12:36:00 PM","Feb 3, 2020, 11:15:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,620 PARADISE RD,MO,,,-121.014725,37.62499537,1,0,0,,FELONY
MP20003255,"Feb 2, 2020, 1:31:00 PM","Feb 2, 2020, 1:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1700 YOSEMITE BLVD,MO,,,-120.9676723,37.63796784,0,0,0,,FELONY
MP20003237,"Feb 1, 2020, 9:43:11 PM","Feb 1, 2020, 9:40:00 PM",211 PC,211 PC ROBBERY 03 Robbery 853,401 PARADISE RD,MODESTO,CALIFORNIA,95351,-121.0119143,37.62780416,0,0,0,,FELONY
MP20800294,"Jan 31, 2020, 11:07:00 AM","Jan 31, 2020, 4:30:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3017 IVORY CT,MODESTO,CALIFORNIA,95355,-120.9380743,37.66781362,0,0,0,,MISDEMEANOR
MP20003445,"Feb 4, 2020, 10:42:05 AM","Jan 1, 2015, 10:42:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,117 CREEKWOOD DR,MO,,95357,-120.926763,37.63907577,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20003289,"Feb 2, 2020, 10:20:34 PM","Feb 2, 2020, 10:20:34 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1700 RADLEY PL,MO,CALIFORNIA,95351,-121.0167487,37.61705177,0,0,0,,FELONY
MP20003289,"Feb 2, 2020, 10:20:34 PM","Feb 2, 2020, 10:20:34 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: MISD 04 Aggravated Assault 1474,1700 RADLEY PL,MO,CALIFORNIA,95351,-121.0167487,37.61705177,0,0,0,,FELONY
MP20003427,"Feb 4, 2020, 7:24:00 AM","Feb 3, 2020, 10:30:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,2083 W ORANGEBURG AVE,MODESTO,CALIFORNIA,95350,-121.0299668,37.66701283,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20003477,"Feb 4, 2020, 10:16:55 AM","Jan 27, 2020, 12:00:00 AM",288.5 (A) PC,288.5 (A) PC CONTINUOUS SEXUAL ABUSE OF CHILD 02a. Rape 1610,504 MT HOOD CT,MODESTO,CALIFORNIA,95358,-120.9993378,37.59928072,1,0,0,,
MP20800331,"Feb 2, 2020, 10:39:00 AM","Feb 1, 2020, 1:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3000 SISK RD,MODESTO,CALIFORNIA,95350,-121.0497159,37.68223744,0,0,0,,FELONY
MP20800323,"Jan 24, 2020, 9:35:00 AM","Jan 24, 2020, 9:05:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,OAKDALE,MODESTO,CALIFORNIA,,,,0,0,0,,FELONY
MP20800319,"Feb 4, 2020, 11:29:00 AM","Jan 31, 2020, 1:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1134 CEDAR CREEK DR,MODESTO,CALIFORNIA,95355,-120.9232467,37.65992614,0,0,0,,FELONY
MP20003447,"Feb 4, 2020, 11:10:00 AM","Feb 3, 2020, 9:30:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,809 BADGLEY DR,MODESTO,CALIFORNIA,95350,-120.9834614,37.66093531,0,0,0,,MISDEMEANOR
MP20003384,"Feb 3, 2020, 4:06:11 PM","Feb 3, 2020, 3:00:00 PM",243 (D) PC,243 (D) PC BATTERY W/SERIOUS BODILY INJURY: FELONY 04 Aggravated Assault 1192,707 S EMERALD AVE,MO,,,-121.0214447,37.63199461,0,0,1,,FELONY
MP20003267,"Feb 2, 2020, 4:11:16 PM","Feb 2, 2020, 4:11:16 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: MISD 04 Aggravated Assault 1474,"PRESCOTT RD, MO / CHEYENNE WAY, MO ( 32/B3 )",MODESTO,CALIFORNIA,,-121.0315938,37.69343321,0,0,1,,FELONY
MP20003545,"Feb 5, 2020, 9:11:30 AM","Feb 5, 2020, 9:11:30 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,2648 EL PASADO DR,MODESTO,CALIFORNIA,95354,-120.9461633,37.6443738,1,0,0,,FELONY
MP20003435,"Feb 4, 2020, 7:49:41 AM","Feb 4, 2020, 7:49:41 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1605 LAVENDER LN,MODESTO,CALIFORNIA,95355,-120.9690532,37.65842239,0,0,0,,FELONY
MP20003425,"Feb 4, 2020, 7:29:09 AM","Feb 2, 2020, 10:00:00 AM",262 (A)(1) PC,262 (A)(1) PC RAPE SPOUSE BY FORCE/FEAR/ETC 02a. Rape 1400,1700 COFFEE RD,MODESTO,CALIFORNIA,95355,-120.9744883,37.66874069,0,0,0,,
MP20003527,"Feb 5, 2020, 4:06:02 AM","Feb 4, 2020, 8:30:00 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1612 SISK RD,MODESTO,CALIFORNIA,95350,-121.0346036,37.66912976,0,0,0,,FELONY
MP20003527,"Feb 5, 2020, 4:06:02 AM","Feb 4, 2020, 8:30:00 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1612 SISK RD,MODESTO,CALIFORNIA,95350,-121.0346036,37.66912976,0,0,0,,FELONY
MP20003531,"Feb 5, 2020, 8:24:06 AM","Feb 4, 2020, 8:45:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,325 STANDIFORD AVE,MODESTO,CALIFORNIA,95350,-120.9977594,37.68919163,0,0,0,,FELONY
MP20003532,"Feb 5, 2020, 8:29:00 AM","Feb 5, 2020, 3:30:00 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,833 W W UNION AVE,MODESTO,CALIFORNIA,95356,-121.0046999,37.69339401,0,0,0,,
