YrSt_ID,population,population_unemp,aggravated_assault,Unemp_Yr_Avg
2010 - KS,2859143,202999.0,7821,7.1
2010 - KY,4347223,443417.0,5230,10.2
2010 - LA,4545343,363627.0,18214,8.0
2010 - MA,6555466,544104.0,21842,8.3
2010 - MD,5785681,439712.0,18899,7.6
2010 - ME,1327379,108845.0,796,8.2
2010 - MI,9877143,1244520.0,31858,12.6
2010 - MN,5310658,392989.0,7233,7.4
2010 - MO,5995715,575589.0,19390,9.6
2010 - MS,2970072,308887.0,4087,10.4
2010 - MT,990958,72340.0,2222,7.3
2010 - NC,9560234,1042066.0,22583,10.9
2010 - ND,674629,25636.0,1203,3.8
2010 - NE,1830141,84186.0,3345,4.6
2010 - NH,1316807,76375.0,1330,5.8
2010 - NJ,8799593,835961.0,13885,9.5
2010 - NM,2065913,167339.0,9432,8.1
2010 - NV,2704283,365078.0,11508,13.5
2010 - NY,19395206,1667988.0,44197,8.6
2010 - OH,11537968,1188411.0,15611,10.3
2010 - OK,3760184,255693.0,13091,6.8
2010 - OR,3838332,410702.0,5892,10.7
2010 - PA,12717722,1081006.0,26112,8.5
2010 - RI,1052528,117883.0,1600,11.2
2010 - SC,4637106,519356.0,21090,11.2
2010 - SD,816598,40830.0,1634,5.0
2010 - TN,6357436,616671.0,28016,9.7
2010 - TX,25253466,2070784.0,71517,8.2
2010 - UT,2775479,216487.0,3620,7.8
2010 - VA,8023953,577725.0,9550,7.2
2010 - VT,625909,38180.0,596,6.1
2010 - WA,6742950,674295.0,12476,10.0
2010 - WI,5691659,495174.0,8305,8.7
2010 - WV,1854368,159476.0,4390,8.6
2010 - WY,564554,36696.0,870,6.5
2011 - AK,723860,55013.0,3374,7.6
2011 - AL,4803689,461154.0,13591,9.6
2011 - AR,2938582,243902.0,10426,8.3
2011 - AZ,6467315,614395.0,16748,9.5
2011 - CA,37683933,4409020.0,91195,11.7
2011 - CO,5116302,429769.0,10346,8.4
2011 - CT,3586717,315631.0,5382,8.8
2011 - DC,619020,63140.0,3058,10.2
2011 - DE,908137,68110.0,3231,7.5
2011 - FL,19082262,1908226.0,66319,10.0
2011 - GA,9812460,1000871.0,21881,10.2
2011 - HI,1378129,93713.0,2098,6.8
2011 - IA,3064097,171589.0,6149,5.6
2011 - ID,1583744,131451.0,2535,8.3
2011 - IL,12859752,1247396.0,30495,9.7
2011 - IN,6516353,592988.0,12578,9.1
2011 - KS,2870386,186575.0,7528,6.5
2011 - KY,4366814,410481.0,5110,9.4
2011 - LA,4574766,356832.0,18370,7.8
2011 - MA,6607003,482311.0,19626,7.3
2011 - MD,5839572,426289.0,16876,7.3
2011 - ME,1328544,104955.0,848,7.9
2011 - MI,9876801,1027187.0,28507,10.4
2011 - MN,5347299,347574.0,6750,6.5
2011 - MO,6008984,510764.0,18778,8.5
2011 - MS,2977457,297746.0,4418,10.0
2011 - MT,997667,69837.0,2189,7.0
2011 - NC,9651103,994064.0,21516,10.3
2011 - ND,684740,23966.0,1318,3.5
2011 - NE,1842234,81058.0,2912,4.4
2011 - NH,1317807,71162.0,1758,5.4
2011 - NJ,8834773,830469.0,13608,9.4
2011 - NM,2078674,155901.0,9170,7.5
2011 - NV,2720028,353604.0,10092,13.0
2011 - NY,19501616,1618634.0,45538,8.3
2011 - OH,11541007,1027150.0,15048,8.9
2011 - OK,3784163,223266.0,12401,5.9
2011 - OR,3868229,367482.0,6083,9.5
2011 - PA,12743948,1006772.0,26046,7.9
2011 - RI,1050646,115571.0,1503,11.0
2011 - SC,4673348,495375.0,21265,10.6
2011 - SD,823593,38709.0,1415,4.7
2011 - TN,6399787,575981.0,28338,9.0
2011 - TX,25631778,1999279.0,67498,7.8
2011 - UT,2814347,188561.0,3517,6.7
2011 - VA,8104384,534889.0,8694,6.6
2011 - VT,626592,34463.0,669,5.5
2011 - WA,6823267,634564.0,12042,9.3
2011 - WI,5709843,445368.0,8340,7.8
2011 - WV,1854908,150248.0,4236,8.1
2011 - WY,567356,32907.0,1010,5.8
2012 - AK,730307,51852.0,3169,7.1
2012 - AL,4817528,380585.0,15035,7.9
2012 - AR,2949828,224187.0,10134,7.6
2012 - AZ,6551149,550297.0,18054,8.4
2012 - CA,37999878,3951987.0,94702,10.4
2012 - CO,5189458,409967.0,10285,7.9
2012 - CT,3591765,298116.0,5424,8.3
2012 - DC,633427,57642.0,3505,9.1
2012 - DE,917053,66028.0,3245,7.2
2012 - FL,19320749,1642264.0,63929,8.5
2012 - GA,9915646,912239.0,22447,9.2
2012 - HI,1390090,83405.0,1953,6.0
2012 - IA,3075039,156827.0,6255,5.1
2012 - ID,1595590,114882.0,2580,7.2
2012 - IL,12868192,1158137.0,29725,9.0
2012 - IN,6537782,542636.0,13975,8.3
2012 - KS,2885398,164468.0,7609,5.7
2012 - KY,4379730,359138.0,4792,8.2
2012 - LA,4602134,326752.0,15737,7.1
2012 - MA,6645303,445235.0,18721,6.7
2012 - MD,5884868,411941.0,16303,7.0
2012 - ME,1328501,99638.0,808,7.5
2012 - MI,9882519,899309.0,29203,9.1
2012 - MN,5379646,301260.0,7207,5.6
2012 - MO,6024522,421717.0,19490,7.0
2012 - MS,2986450,268780.0,4460,9.0
2012 - MT,1005494,60330.0,2180,6.0
2012 - NC,9748364,906598.0,22609,9.3
2012 - ND,701345,21742.0,1292,3.1
2012 - NE,1855350,74214.0,2912,4.0
2012 - NH,1321617,72689.0,1869,5.5
2012 - NJ,8867749,824701.0,12919,9.3
2012 - NM,2083540,147931.0,8740,7.1
2012 - NV,2754354,308488.0,10790,11.2
2012 - NY,19576125,1663971.0,47382,8.5
2012 - OH,11553031,854924.0,15140,7.4
